Choice,Party,,Absentee Votes,Absentee %,,Early Votes,Early %,,Election Day Votes,Election Day %,,Total Votes,Total %,Contest,Precinct,County
MIKE BRAUN MICAH BECKWITH,REP,,10,66.67%,,220,70.74%,,124,66.31%,,354,69.01%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JACK3,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,5,33.33%,,72,23.15%,,39,20.86%,,116,22.61%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JACK3,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,0,0.00%,,19,6.11%,,24,12.83%,,43,8.38%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JACK3,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JACK3,Wayne
TODD ROKITA,REP,,11,73.33%,,244,79.74%,,139,75.54%,,394,78.02%,ATTORNEY GENERAL - Vote for One (1) Only,JACK3,Wayne
DESTINY WELLS,DEM,,4,26.67%,,62,20.26%,,45,24.46%,,111,21.98%,ATTORNEY GENERAL - Vote for One (1) Only,JACK3,Wayne
JEFFERSON SHREVE,REP,,11,73.33%,,244,78.96%,,141,76.22%,,396,77.80%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JACK3,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,4,26.67%,,56,18.12%,,36,19.46%,,96,18.86%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JACK3,Wayne
JAMES MICHAEL SCENIAK,LIB,,0,0.00%,,9,2.91%,,8,4.32%,,17,3.34%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JACK3,Wayne
BRADFORD BARRETT,REP,,10,100.00%,,260,100.00%,,161,100.00%,,431,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,JACK3,Wayne
RONALD J. (RON) MOORE,REP,,10,100.00%,,260,100.00%,,155,100.00%,,425,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,JACK3,Wayne
TARA PEGG,REP,,10,100.00%,,257,100.00%,,155,100.00%,,422,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,JACK3,Wayne
BETH FIELDS,REP,,11,100.00%,,260,100.00%,,155,100.00%,,426,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,JACK3,Wayne
R. BRENT MEADOWS,REP,,11,100.00%,,255,100.00%,,155,100.00%,,421,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,JACK3,Wayne
GORDON E. MOORE,REP,,11,100.00%,,257,100.00%,,156,100.00%,,424,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,JACK3,Wayne
AARON ROBERTS,REP,,10,100.00%,,253,100.00%,,154,100.00%,,417,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,JACK3,Wayne
JEFF PLASTERER,REP,,10,100.00%,,252,100.00%,,153,100.00%,,415,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,JACK3,Wayne
GERALD (GARY) SAUNDERS,REP,,9,40.91%,,156,39.90%,,97,43.69%,,262,41.26%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JACK3,Wayne
MAX SMITH,REP,,6,27.27%,,121,30.95%,,61,27.48%,,188,29.61%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JACK3,Wayne
CATHY C. WILLIAMS,REP,,7,31.82%,,114,29.16%,,64,28.83%,,185,29.13%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JACK3,Wayne
DAVID STURGIS,,,8,100.00%,,177,100.00%,,119,100.00%,,304,100.00%,WESTERN WAYNE SCHOOL BOARD MEMBER District A - Vote for One (1) Only,JACK3,Wayne
KRIS BEX,,,9,100.00%,,182,100.00%,,122,100.00%,,313,100.00%,WESTERN WAYNE SCHOOL BOARD MEMBER District B - Vote for One (1) Only,JACK3,Wayne
TODD A. PATTERSON,,,6,50.00%,,83,35.47%,,57,40.43%,,146,37.73%,WESTERN WAYNE SCHOOL BOARD MEMBER At-Large District D - Vote for Not More Than One (1),JACK3,Wayne
JENNI RISCH,,,6,50.00%,,151,64.53%,,84,59.57%,,241,62.27%,WESTERN WAYNE SCHOOL BOARD MEMBER At-Large District D - Vote for Not More Than One (1),JACK3,Wayne
YES,,,8,80.00%,,158,74.88%,,111,81.02%,,277,77.37%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,JACK3,Wayne
NO,,,2,20.00%,,53,25.12%,,26,18.98%,,81,22.63%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,JACK3,Wayne
YES,,,8,80.00%,,154,74.04%,,103,75.18%,,265,74.65%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,JACK3,Wayne
NO,,,2,20.00%,,54,25.96%,,34,24.82%,,90,25.35%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,JACK3,Wayne
YES,,,7,77.78%,,154,74.76%,,108,79.41%,,269,76.64%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,JACK3,Wayne
NO,,,2,22.22%,,52,25.24%,,28,20.59%,,82,23.36%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,JACK3,Wayne
YES,,,8,80.00%,,162,77.88%,,106,78.52%,,276,78.19%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,JACK3,Wayne
NO,,,2,20.00%,,46,22.12%,,29,21.48%,,77,21.81%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,JACK3,Wayne
YES,,,7,77.78%,,163,78.74%,,105,77.78%,,275,78.35%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,JACK3,Wayne
NO,,,2,22.22%,,44,21.26%,,30,22.22%,,76,21.65%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,JACK3,Wayne
YES,,,7,46.67%,,128,50.39%,,63,38.65%,,198,45.83%,PUBLIC QUESTION #1,JEFF1,Wayne
NO,,,8,53.33%,,126,49.61%,,100,61.35%,,234,54.17%,PUBLIC QUESTION #1,JEFF1,Wayne
Republican Party,REP,,7,70.00%,,113,81.29%,,68,75.56%,,188,78.66%,STRAIGHT PARTY,JEFF1,Wayne
Democratic Party,DEM,,3,30.00%,,25,17.99%,,17,18.89%,,45,18.83%,STRAIGHT PARTY,JEFF1,Wayne
Libertarian Party,LIB,,0,0.00%,,1,0.72%,,4,4.44%,,5,2.09%,STRAIGHT PARTY,JEFF1,Wayne
We the People Party,WTP,,0,0.00%,,0,0.00%,,1,1.11%,,1,0.42%,STRAIGHT PARTY,JEFF1,Wayne
DONALD J. TRUMP JD VANCE,REP,,11,57.89%,,220,71.90%,,128,69.95%,,359,70.67%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,7,36.84%,,80,26.14%,,41,22.40%,,128,25.20%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,4,1.31%,,8,4.37%,,12,2.36%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,1,5.26%,,2,0.65%,,6,3.28%,,9,1.77%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF1,Wayne
JIM BANKS,REP,,10,55.56%,,222,73.03%,,120,67.04%,,352,70.26%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF1,Wayne
VALERIE MCCRAY,DEM,,7,38.89%,,69,22.70%,,40,22.35%,,116,23.15%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF1,Wayne
ANDREW HORNING,LIB,,1,5.56%,,13,4.28%,,19,10.61%,,33,6.59%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF1,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF1,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF1,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,7,38.89%,,198,64.92%,,97,53.89%,,302,60.04%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF1,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,9,50.00%,,89,29.18%,,62,34.44%,,160,31.81%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF1,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,2,11.11%,,18,5.90%,,21,11.67%,,41,8.15%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF1,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF1,Wayne
TODD ROKITA,REP,,8,44.44%,,219,73.24%,,122,69.71%,,349,70.93%,ATTORNEY GENERAL - Vote for One (1) Only,JEFF1,Wayne
DESTINY WELLS,DEM,,10,55.56%,,80,26.76%,,53,30.29%,,143,29.07%,ATTORNEY GENERAL - Vote for One (1) Only,JEFF1,Wayne
JEFFERSON SHREVE,REP,,10,55.56%,,204,67.77%,,118,66.29%,,332,66.80%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JEFF1,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,8,44.44%,,75,24.92%,,45,25.28%,,128,25.75%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JEFF1,Wayne
JAMES MICHAEL SCENIAK,LIB,,0,0.00%,,22,7.31%,,15,8.43%,,37,7.44%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JEFF1,Wayne
BRADFORD BARRETT,REP,,11,100.00%,,245,100.00%,,149,100.00%,,405,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,JEFF1,Wayne
RONALD J. (RON) MOORE,REP,,10,100.00%,,235,100.00%,,154,100.00%,,399,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,JEFF1,Wayne
TARA PEGG,REP,,10,100.00%,,237,100.00%,,152,100.00%,,399,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,JEFF1,Wayne
BETH FIELDS,REP,,10,100.00%,,231,100.00%,,153,100.00%,,394,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,JEFF1,Wayne
R. BRENT MEADOWS,REP,,11,100.00%,,242,100.00%,,155,100.00%,,408,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,JEFF1,Wayne
GORDON E. MOORE,REP,,10,100.00%,,234,100.00%,,153,100.00%,,397,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,JEFF1,Wayne
AARON ROBERTS,REP,,10,100.00%,,231,100.00%,,150,100.00%,,391,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,JEFF1,Wayne
JEFF PLASTERER,REP,,10,100.00%,,234,100.00%,,153,100.00%,,397,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,JEFF1,Wayne
GERALD (GARY) SAUNDERS,REP,,8,34.78%,,174,37.18%,,101,37.41%,,283,37.19%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JEFF1,Wayne
MAX SMITH,REP,,6,26.09%,,162,34.62%,,83,30.74%,,251,32.98%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JEFF1,Wayne
CATHY C. WILLIAMS,REP,,9,39.13%,,132,28.21%,,86,31.85%,,227,29.83%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JEFF1,Wayne
JULIE BLAASE,,,10,76.92%,,178,70.63%,,90,59.21%,,278,66.67%,NETTLE CREEK SCHOOL BOARD MEMBER District A - Vote for One (1) Only,JEFF1,Wayne
CANDACE M. TRAMEL,,,3,23.08%,,74,29.37%,,62,40.79%,,139,33.33%,NETTLE CREEK SCHOOL BOARD MEMBER District A - Vote for One (1) Only,JEFF1,Wayne
MIKE BANNING,,,10,100.00%,,180,100.00%,,127,100.00%,,317,100.00%,NETTLE CREEK SCHOOL BOARD MEMBER District C - Vote for One (1) Only,JEFF1,Wayne
RUTHIE LAMAR,,,7,43.75%,,177,56.91%,,105,55.56%,,289,56.01%,NETTLE CREEK SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),JEFF1,Wayne
SANDRA SCHRAUB,,,9,56.25%,,134,43.09%,,84,44.44%,,227,43.99%,NETTLE CREEK SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),JEFF1,Wayne
YES,,,9,75.00%,,175,79.91%,,111,77.62%,,295,78.88%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,JEFF1,Wayne
NO,,,3,25.00%,,44,20.09%,,32,22.38%,,79,21.12%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,JEFF1,Wayne
YES,,,8,66.67%,,170,79.81%,,97,69.29%,,275,75.34%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,JEFF1,Wayne
NO,,,4,33.33%,,43,20.19%,,43,30.71%,,90,24.66%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,JEFF1,Wayne
YES,,,8,72.73%,,171,80.66%,,101,72.14%,,280,77.13%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,JEFF1,Wayne
NO,,,3,27.27%,,41,19.34%,,39,27.86%,,83,22.87%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,JEFF1,Wayne
YES,,,7,70.00%,,168,79.25%,,102,73.91%,,277,76.94%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,JEFF1,Wayne
NO,,,3,30.00%,,44,20.75%,,36,26.09%,,83,23.06%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,JEFF1,Wayne
YES,,,9,75.00%,,166,80.58%,,101,71.13%,,276,76.67%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,JEFF1,Wayne
NO,,,3,25.00%,,40,19.42%,,41,28.87%,,84,23.33%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,JEFF1,Wayne
YES,,,4,30.77%,,130,51.59%,,79,40.31%,,213,46.20%,PUBLIC QUESTION #1,JEFF2,Wayne
NO,,,9,69.23%,,122,48.41%,,117,59.69%,,248,53.80%,PUBLIC QUESTION #1,JEFF2,Wayne
Republican Party,REP,,4,50.00%,,100,78.74%,,64,65.31%,,168,72.10%,STRAIGHT PARTY,JEFF2,Wayne
Democratic Party,DEM,,4,50.00%,,26,20.47%,,31,31.63%,,61,26.18%,STRAIGHT PARTY,JEFF2,Wayne
Libertarian Party,LIB,,0,0.00%,,0,0.00%,,1,1.02%,,1,0.43%,STRAIGHT PARTY,JEFF2,Wayne
We the People Party,WTP,,0,0.00%,,1,0.79%,,2,2.04%,,3,1.29%,STRAIGHT PARTY,JEFF2,Wayne
DONALD J. TRUMP JD VANCE,REP,,6,42.86%,,207,70.41%,,147,66.22%,,360,67.92%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,7,50.00%,,81,27.55%,,64,28.83%,,152,28.68%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,1,7.14%,,1,0.34%,,3,1.35%,,5,0.94%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,5,1.70%,,7,3.15%,,12,2.26%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,1,0.45%,,1,0.19%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,JEFF2,Wayne
JIM BANKS,REP,,6,42.86%,,202,70.88%,,131,60.65%,,339,65.83%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF2,Wayne
VALERIE MCCRAY,DEM,,8,57.14%,,71,24.91%,,66,30.56%,,145,28.16%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF2,Wayne
ANDREW HORNING,LIB,,0,0.00%,,12,4.21%,,19,8.80%,,31,6.02%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF2,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF2,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,JEFF2,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,6,42.86%,,178,61.59%,,115,52.51%,,299,57.28%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF2,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,8,57.14%,,97,33.56%,,86,39.27%,,191,36.59%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF2,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,0,0.00%,,14,4.84%,,18,8.22%,,32,6.13%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF2,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,JEFF2,Wayne
TODD ROKITA,REP,,6,42.86%,,197,69.86%,,141,65.58%,,344,67.32%,ATTORNEY GENERAL - Vote for One (1) Only,JEFF2,Wayne
DESTINY WELLS,DEM,,8,57.14%,,85,30.14%,,74,34.42%,,167,32.68%,ATTORNEY GENERAL - Vote for One (1) Only,JEFF2,Wayne
JEFFERSON SHREVE,REP,,6,42.86%,,197,70.11%,,129,60.00%,,332,65.10%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JEFF2,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,7,50.00%,,72,25.62%,,66,30.70%,,145,28.43%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JEFF2,Wayne
JAMES MICHAEL SCENIAK,LIB,,1,7.14%,,12,4.27%,,20,9.30%,,33,6.47%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,JEFF2,Wayne
BRADFORD BARRETT,REP,,8,100.00%,,230,100.00%,,162,100.00%,,400,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,JEFF2,Wayne
RONALD J. (RON) MOORE,REP,,9,100.00%,,230,100.00%,,170,100.00%,,409,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,JEFF2,Wayne
TARA PEGG,REP,,9,100.00%,,227,100.00%,,171,100.00%,,407,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,JEFF2,Wayne
BETH FIELDS,REP,,8,100.00%,,230,100.00%,,170,100.00%,,408,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,JEFF2,Wayne
R. BRENT MEADOWS,REP,,9,100.00%,,227,100.00%,,167,100.00%,,403,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,JEFF2,Wayne
GORDON E. MOORE,REP,,8,100.00%,,227,100.00%,,164,100.00%,,399,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,JEFF2,Wayne
AARON ROBERTS,REP,,8,100.00%,,226,100.00%,,167,100.00%,,401,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,JEFF2,Wayne
JEFF PLASTERER,REP,,8,100.00%,,222,100.00%,,166,100.00%,,396,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,JEFF2,Wayne
GERALD (GARY) SAUNDERS,REP,,9,37.50%,,157,36.60%,,128,43.24%,,294,39.25%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JEFF2,Wayne
MAX SMITH,REP,,8,33.33%,,138,32.17%,,83,28.04%,,229,30.57%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JEFF2,Wayne
CATHY C. WILLIAMS,REP,,7,29.17%,,134,31.24%,,85,28.72%,,226,30.17%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,JEFF2,Wayne
JULIE BLAASE,,,11,91.67%,,167,69.29%,,130,69.15%,,308,69.84%,NETTLE CREEK SCHOOL BOARD MEMBER District A - Vote for One (1) Only,JEFF2,Wayne
CANDACE M. TRAMEL,,,1,8.33%,,74,30.71%,,58,30.85%,,133,30.16%,NETTLE CREEK SCHOOL BOARD MEMBER District A - Vote for One (1) Only,JEFF2,Wayne
MIKE BANNING,,,9,100.00%,,180,100.00%,,158,100.00%,,347,100.00%,NETTLE CREEK SCHOOL BOARD MEMBER District C - Vote for One (1) Only,JEFF2,Wayne
RUTHIE LAMAR,,,11,55.00%,,158,53.02%,,126,53.62%,,295,53.35%,NETTLE CREEK SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),JEFF2,Wayne
SANDRA SCHRAUB,,,9,45.00%,,140,46.98%,,109,46.38%,,258,46.65%,NETTLE CREEK SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),JEFF2,Wayne
